,,90%,90%,95%,95%,99%,99%,predict
92,692,128.6362712,346.6029919,107.7671171,367.472146,67.02257812,408.216685,237.6196316
93,693,179.6468502,397.6000465,158.7789909,418.4679057,118.0369801,459.2099166,288.6234483
94,694,330.8396316,548.7880737,309.9722276,569.6554777,269.2311054,610.3965999,439.8138527
95,695,405.0009841,622.9412558,384.1343623,643.8078776,343.3947675,684.5474725,513.97112
96,696,419.7472916,637.6785108,398.8815366,658.5442658,358.143634,699.2821685,528.7129012
97,697,318.8594678,536.7810736,297.9946332,557.6459082,257.2585276,598.3820138,427.8202707
98,698,377.224441,595.1358768,356.3605801,615.9997377,315.6263755,656.7339423,486.1801589
99,699,435.2183137,653.1189865,414.3554834,673.9818169,373.6232907,714.7140096,544.1686501
100,700,496.8546735,714.7439461,475.9929346,735.605685,435.262873,776.3357466,605.7993098
101,701,327.4111215,545.2883091,306.5505397,566.1488909,265.8227371,606.8766934,436.3497153
102,702,232.3641866,450.2285533,211.5048324,471.0879075,170.7794264,511.8133135,341.29637
