,,90%,90%,95%,95%,99%,99%
155,283.7829453,187.573214,379.9926765,168.8005836,398.765307,132.428612,435.1372786
156,283.0506849,188.4557529,377.6456169,169.9982052,396.1031646,134.2367066,431.8646633
157,249.3347553,156.9113167,341.7581939,138.8774751,359.7920355,103.9369068,394.7326038
158,249.6940125,158.7968158,340.5912091,141.0607775,358.3272474,106.6972031,392.6908218
159,232.5691886,141.5298416,323.6085355,123.7660666,341.3723106,89.34875246,375.7896247
160,239.8699045,150.0479508,329.6918581,132.5217159,347.218093,98.56463588,381.175173
161,214.5433785,122.135076,306.951681,104.1041877,324.9825693,69.16934168,359.9174153
162,166.219284,74.66595739,257.7726106,56.80189367,275.6366743,22.1902702,310.2482978
163,117.1745472,23.4319109,210.9171834,5.1406648,229.2084295,-30.29862452,264.6477189
164,156.3302901,64.9207104,247.7398698,47.08469485,265.5758854,12.52741471,300.1331655
165,228.2431472,136.8866653,319.5996291,119.0610103,337.4252841,84.52380376,371.9624906
166,248.9924651,155.4769759,342.5079543,137.2300512,360.754879,101.8766346,396.1082956
167,270.688695,179.0173818,362.3600082,161.1302963,380.2470937,126.4740682,414.9033218
168,310.9854336,220.9383616,401.0325056,203.3682012,418.602666,169.3260154,452.6448517
169,251.7963663,156.0221968,347.5705357,137.334554,366.2581785,101.1272461,402.4654864
170,283.643873,186.6248775,380.6628686,167.6943418,399.5934043,131.0164288,436.2713173
171,318.2644536,223.6115363,412.9173709,205.1426744,431.3862328,169.3592544,467.1696527
172,259.0374446,159.8602797,358.2146095,140.5086378,377.5662514,103.0148315,415.0600577
173,302.4837158,199.4497827,405.5176489,179.3456006,425.621831,140.3937478,464.5736837
174,340.2694451,239.8023734,440.7365168,220.1990423,460.3398478,182.2175883,498.3213018
175,263.3803168,145.5726952,381.1879384,122.5858422,404.1747914,78.04881452,448.7118191
176,374.3940617,259.1982812,489.5898421,236.7210558,512.0670676,193.1714315,555.6166919
177,283.3911471,169.3161976,397.4660965,147.0576709,419.7246233,103.9317753,462.8505188
178,298.1618444,184.088852,412.2348368,161.8307071,434.4929816,118.7055515,477.6181373
179,173.1173737,61.79352632,284.441221,40.07180001,306.1629473,-2.014044718,348.248792
180,215.3177088,106.5080579,324.1273598,85.27690645,345.3585112,44.1415506,386.493867
181,204.9869271,93.05296591,316.9208883,71.212193,338.7616612,28.89569548,381.0781587
182,285.4437974,166.6997232,404.1878716,143.5301478,427.357447,98.63909533,472.2484995
183,359.6860181,231.3317759,488.0402602,206.2870457,513.0849904,157.762881,561.6091551
184,473.6750128,344.6312044,602.7188211,319.4519247,627.8981008,270.6670704,676.6829552
185,467.2772099,337.4338714,597.1205483,312.0985858,622.4558339,263.0114701,671.5429496
186,459.1915081,332.4511546,585.9318615,307.7213295,610.6616866,259.8072935,658.5757226
187,358.530892,233.9013657,483.1604184,209.5834093,507.4783748,162.4673688,554.5944152
188,405.1380379,283.1475088,527.128567,259.3444788,550.931597,213.226108,597.0499678
189,318.3870275,199.148014,437.626041,175.881865,460.8921899,130.8037014,505.9703536
190,332.9992581,214.5143037,451.4842125,191.3952882,474.603228,146.6021957,519.3963205
191,227.5032611,110.0105548,344.9959674,87.08514868,367.9213735,42.66717434,412.3393478
192,258.362412,141.4851757,375.2396483,118.6798613,398.0449627,74.49456464,442.2302593
193,109.9727386,-4.198064718,224.1435419,-26.47529463,246.4207718,-69.63742759,289.5829048
194,95.62921462,-17.90104973,209.159479,-40.05329643,231.3117257,-82.97327442,274.2317037
195,175.6697483,64.53259174,286.8069049,42.84729289,308.4922037,0.832026383,350.5074702
196,183.0378264,74.38094504,291.6947078,53.17960233,312.8960505,12.10200084,353.973652
