"","x"
"838",56.081
"839",59.011
"840",155.127
"841",170.659
"842",162.054
"843",201.629
"844",181.053
"845",150.076
"846",147.291
"847",127.713
"848",131.889
"849",172.805
"850",155.848
"851",147.813
"852",95.867
"853",65.537
"854",67.466
"855",188.166
"856",211.765
"857",254.506
"858",207.648
"859",226.13
"860",181.474
"861",219.747
"862",200.397
"863",229.578
"864",265.454
"865",284.357
"866",323.167
"867",189.652
"868",101.453
"869",133.037
"870",120.652
